"Timestamp","Which persona best describe you? ","What type of contents does your group focus on?","What are your primary goals for managing a group? (Select up to 2)","Would you be interested in monetizing your groups by allowing ads or promotions?","What are your biggest challenges when it comes to monetizing your group?","What kind of ads would you allow in your group?","How do you currently fund your group?","What kind of feature would you like from a group management/ad platform?","What are the main goals of your advertising efforts? (Select up to 2)","Have you used social media or community-based platforms for advertising?","If yes, which ones? (Select all that apply)","What challenges have you faced with other advertising platforms? (Select all that apply)","What metrics do you prioritize when assessing ad performance? ","What would make a group/platform appealing for promotion? ","What feature would make an ad placement platform more appealing to you as a business owner/advertiser?","How much do you typically spend on advertisements per month (in Naira)?","What is your preferred pricing model for ads?","What age group do you fall into?","What topics or interests are you most likely to join a group for? (Select all that apply)","How often do you engage with community-based groups?","What motivates you to actively participate in groups? (Select all that apply)","What frustrations have you experienced in other community-based platforms? (Select all that apply)","Would you be comfortable seeing ads in a group you are a part of?","What type of ads would you find acceptable in a community-group?","How likely are you to engage with ads that are relevant to your interests within a group?","Do you have any additional suggestions or features you would like to see in this platform?",""
"2024/10/29 8:06:52 AM GMT+1","Group Member","","","Maybe","Relevant information ","Relevant products/services","","","","","","","","Group size","","","","","","","","","Maybe","ads related to group's focus and niche","","No",""
"2024/10/29 12:55:40 PM GMT+1","Group Owner","Business and Enterprenuership","","Yes","Maintaining control over ad content","Affiliate marketing","Out of Pocket","","","","","","","Group size","Secure Paymemt","","","","","","","","Yes, if they are relevant","ads related to group's focus and niche","","Demography","18-24"
"2024/10/29 1:11:39 PM GMT+1","Group Member","","","Maybe","Privacy of group memebers","Relevant products/services","Members contributions","","","","","","","Engagement level","","","","","","","","","No","ads related to group's focus and niche","","No","35-44"
"2024/10/29 1:25:17 PM GMT+1","Group Member","Business and Enterprenuership","","Yes","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Audience Analytics","","","","","","","","Yes, if they are relevant","Video ads","","Incisive ads that  is more relevant to those looking to start up a SME ","45 and above"
"2024/10/29 3:54:24 PM GMT+1","Group Owner","Business and Enterprenuership","","No","Privacy of group memebers","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Secure Paymemt","","","","","","","","Yes, if they are relevant","Text only ads","","Not really ","18-24"
"2024/10/29 3:59:20 PM GMT+1","Group Owner","Business and Enterprenuership","","No","Maintaining control over ad content","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Simple management tools","","","","","","","","No","ads related to group's focus and niche","","No","18-24;25-34;35-44;45 and above"
"2024/10/29 5:17:26 PM GMT+1","Group Member","","","","Privacy of group memebers","","Out of Pocket","","","","","","","Engagement level","","","","","","","","","Maybe","Video ads","","N/A",""
"2024/10/29 6:45:43 PM GMT+1","Group Owner","Education and Skills","","Yes","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","","Secure Paymemt","","","","","","","","","ads related to group's focus and niche","","nope","18-24;25-34"
"2024/10/29 7:30:16 PM GMT+1","Group Owner","House bills coordination ","","Yes","Maintaining control over ad content","Relevant products/services","None","","","","","","","Group size","Moderation control","","","","","","","","Yes, if they are relevant","Image ads","","None","25-34;35-44"
"2024/10/29 7:33:56 PM GMT+1","Group Member","Old school boys","","No","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","Group size","Audience Analytics","","","","","","","","Yes, if they are relevant","Image ads","","No","25-34"
"2024/10/29 7:42:37 PM GMT+1","Group Member","Business and Enterprenuership","","Yes;No","Maintaining control over ad content","Relevant products/services","Out of Pocket","","","","","","","Specific Niche /topic","Simple management tools","","","","","","","","Yes, if they are relevant","Image ads","","No","25-34"
"2024/10/29 8:45:46 PM GMT+1","Group Owner","Education and Skills;Social and Entertainment","","Yes","Potential disruption","Sponsored contents","","","","","","","","Specific Niche /topic","Moderation control","","","","","","","","Yes, if they are relevant;Maybe","Text only ads","","No ","18-24;25-34;35-44;45 and above"
"2024/10/29 11:51:05 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Career & Networking;Food and Healthy eating","Rarely","Learning new things;Sharing my opinions;Support or advice from the community","Poor moderation","No","ads related to group's focus and niche","3","No I don't ",""
"2024/10/30 12:41:14 AM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Health and Fitness;Science and Technology;Personal Finance;Career & Networking;Food and Healthy eating","Monthly","Learning new things;Networking with others;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Unclear group purpose","No","ads related to group's focus and niche","3","No",""
"2024/10/30 9:57:30 AM GMT+1","Group Owner/Admin","Education and Skills;Career & Networking","Growing membership;Increasing engagement and interactions;Building brand authority;Monetizing group activities;Providing exclusive content or support","Yes","Low engagement from members;Potential disruption of group activities;Difficulty finding Sponsors or Advertisers","Relevant products/services","Out of Pocket","Secure and seamless paymemt system;Group statistics and demographics Insights;Group Profile Creation - create and customize profiles for your groups (group topics and niches, etc);Member analytics and insights;Revenue Tracking;Engagement metrics;Manage Contact Information Requests Control over sharing contact information with advertisers through a manual approval system.;Moderation tools (e.g., banning, approving posts)","","","","","","","","","","","","","","","","","","Good UI",""
"2024/10/30 11:38:51 AM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Health and Fitness;Science and Technology;Personal Finance;Fashion & Lifestyle;Career & Networking;Food and Healthy eating","Daily","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content;Support or advice from the community","Poor moderation;Lack of engagement;Limited content variety;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","4","Nil ",""
"2024/10/30 11:57:14 AM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Career & Networking","Weekly","Networking with others","Irrelevant ads or spam","No","Image ads","1","No",""
"2024/10/30 12:29:53 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Science and Technology;Personal Finance;Food and Healthy eating","Daily","Learning new things;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Lack of engagement","Yes, if they are relevant","ads related to group's focus and niche","2","No",""
"2024/10/30 1:00:58 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Sales conversion","Yes","Facebook Groups;WhatsApp Groups;Instagram communities","High costs","Conversion rate","Engagement level","Secure and seamless payment system;Engagement metrics;Simple management tools;Publicly displayed group ratings and reviews","25000","Pay-per-click (PPC)","","","","","","","","","Null",""
"2024/10/30 1:06:10 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Career & Networking","Daily","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content","Irrelevant ads or spam;Lack of engagement","Yes, if they are relevant","ads related to group's focus and niche","3","Not really ",""
"2024/10/30 1:10:13 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Science and Technology;Career & Networking","Rarely","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content","Lack of engagement","No","ads related to group's focus and niche","4","None",""
"2024/10/30 1:15:22 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership","Daily","Learning new things","Limited content variety","Yes, if they are relevant","Text only ads","3","Mostly topics about business ",""
"2024/10/30 1:16:13 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Education and Skills;Health and Fitness;Science and Technology;Personal Finance;Career & Networking","Daily","Learning new things;Support or advice from the community","Irrelevant ads or spam;Lack of engagement","No","ads related to group's focus and niche","2","No",""
"2024/10/30 1:17:59 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Education and Skills;Science and Technology;Career & Networking","Weekly","Learning new things;Networking with others;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","4","A job board would be great ",""
"2024/10/30 1:18:52 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Career & Networking","Rarely","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content","Poor moderation;Limited content variety;Unclear group purpose","No","ads related to group's focus and niche","3","No",""
"2024/10/30 1:21:17 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Health and Fitness;Science and Technology;Career & Networking;Food and Healthy eating","Rarely","Learning new things","Poor moderation","No","Text only ads","3","no",""
"2024/10/30 1:22:54 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills","Weekly","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Lack of engagement;Unclear group purpose","Yes, if they are relevant","Image ads","1","More engaging contents ",""
"2024/10/30 1:23:43 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Education and Skills;Health and Fitness;Science and Technology;Personal Finance;Fashion & Lifestyle;Career & Networking","Weekly","Learning new things;Support or advice from the community","Irrelevant ads or spam;Limited content variety","Yes, if they are relevant","ads related to group's focus and niche","4","No",""
"2024/10/30 1:23:45 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Personal Finance","Rarely","Learning new things;Support or advice from the community","Irrelevant ads or spam;Lack of engagement;Unclear group purpose","No","None","1","No",""
"2024/10/30 1:28:12 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Science and Technology;Career & Networking","Weekly","Learning new things;Networking with others;Sharing my opinions;Support or advice from the community","Irrelevant ads or spam;Limited content variety","Yes, if they are relevant","Image ads","2","No",""
"2024/10/30 1:28:21 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","35 - 44","Business and Enterprenuership;Education and Skills;Health and Fitness;Science and Technology;Personal Finance;Fashion & Lifestyle;Career & Networking;Food and Healthy eating","Daily","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam","Yes, if they are relevant","ads related to group's focus and niche","5","No for now",""
"2024/10/30 1:28:43 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Education and Skills;Career & Networking;Book clubs ","Weekly","Learning new things;Networking with others;Access to exclusive content","Irrelevant ads or spam;Poor moderation;Unclear group purpose","No","Text only ads","1","Ads and job openings ",""
"2024/10/30 1:30:12 PM GMT+1","Group Owner/Admin","Personal Finance","Increasing engagement and interactions;Providing exclusive content or support","Maybe","Potential disruption of group activities","Affiliate marketing","Out of Pocket","Group statistics and demographics Insights;Member analytics and insights;Engagement metrics;Manage Contact Information Requests Control over sharing contact information with advertisers through a manual approval system.;Moderation tools (e.g., banning, approving posts)","","","","","","","","","","","","","","","","","","No any other feature. ",""
"2024/10/30 1:30:16 PM GMT+1","Business Owner/Advertiser","","","","","","","","Lead generation;Sales conversion;Customer engagement","Yes","WhatsApp Groups","High costs;Limited support or resources","Conversion rate","Engagement level","Secure and seamless payment system;Audience Analytics","5000","Pay-per-impression (CPM)","","","","","","","","","None",""
"2024/10/30 1:39:50 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Education and Skills;Health and Fitness;Personal Finance;Career & Networking;Food and Healthy eating","Daily","Learning new things;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","3","None",""
"2024/10/30 1:41:59 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness","Yes","WhatsApp Groups","High costs","Click-through rate","Age range","Audience Analytics","30000","Pay-per-click (PPC)","","","","","","","","","No",""
"2024/10/30 1:46:05 PM GMT+1","Group Owner/Admin","Fashion & Lifestyle","Building brand authority;Providing exclusive content or support","Maybe","Low engagement from members;Managing ads and transactions;Insecure and unreliable payment system","Relevant products/services","Out of Pocket","Group statistics and demographics Insights;Group Profile Creation - create and customize profiles for your groups (group topics and niches, etc);Member analytics and insights;Manage Contact Information Requests Control over sharing contact information with advertisers through a manual approval system.;Moderation tools (e.g., banning, approving posts)","","","","","","","","","","","","","","","","","","No",""
"2024/10/30 1:50:11 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Social and Entertainment;Fashion & Lifestyle","Daily","Learning new things;Sharing my opinions;Access to exclusive content;Support or advice from the community","Poor moderation;Lack of engagement;Limited content variety;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","5","No",""
"2024/10/30 1:52:44 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Social and Entertainment;Personal Finance;Career & Networking","Daily","Learning new things;Access to exclusive content;Support or advice from the community","Limited content variety","No","Text only ads","1","No",""
"2024/10/30 1:53:40 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Social and Entertainment;Health and Fitness;Personal Finance;Fashion & Lifestyle;Career & Networking","Daily","Learning new things;Networking with others;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Limited content variety","Yes, if they are relevant","Image ads","4","I would like that all the feedback is considered to develop a more efficient and user friendly platform ",""
"2024/10/30 2:00:26 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Social and Entertainment;Health and Fitness;Fashion & Lifestyle;Food and Healthy eating","Weekly","Learning new things;Networking with others;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Lack of engagement;Unclear group purpose","No","ads related to group's focus and niche","3","No",""
"2024/10/30 2:03:49 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Health and Fitness;Personal Finance;Fashion & Lifestyle;Career & Networking;Food and Healthy eating","Daily","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Lack of engagement;Limited content variety;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","5","No",""
"2024/10/30 2:06:40 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Sales conversion;Customer engagement","Yes","WhatsApp Groups","Limited targeting options;High costs;Poor engagement rates;Difficulty measuring ROI","Reach/impressions","Specific Niche /topic","Secure and seamless payment system;Audience Analytics;Engagement metrics;Group Search and Filter -  Find groups based on categories (e.g., lifestyle, business), location, and size.;Publicly displayed group ratings and reviews","30","Pay-per-click (PPC)","","","","","","","","","No",""
"2024/10/30 2:16:19 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Education and Skills;Health and Fitness;Fashion & Lifestyle;Career & Networking;Food and Healthy eating","Rarely","Networking with others;Sharing my opinions;Support or advice from the community","Irrelevant ads or spam;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","3","No",""
"2024/10/30 2:22:13 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Health and Fitness;Spiritual growth ","Daily","Learning new things;Networking with others;Sharing my opinions;Support or advice from the community","Lack of engagement","No","Non","2","No",""
"2024/10/30 2:25:27 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Science and Technology;Career & Networking","Weekly","Learning new things;Sharing my opinions;Support or advice from the community","Unclear group purpose","No","ads related to group's focus and niche","4","Groups for reconnection or relationship purposes ",""
"2024/10/30 2:29:27 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Social and Entertainment;Personal Finance;Career & Networking","Monthly","Learning new things;Networking with others;Sharing my opinions","Lack of engagement","Yes, if they are relevant","ads related to group's focus and niche","3","No ",""
"2024/10/30 2:38:02 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Health and Fitness;Personal Finance;Career & Networking;Food and Healthy eating","Daily","Learning new things;Networking with others;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Unclear group purpose","Yes, if they are relevant","Image ads","4","None at the moment ",""
"2024/10/30 2:39:05 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Career & Networking","Rarely","Learning new things;Networking with others","Irrelevant ads or spam;Poor moderation;Lack of engagement;Limited content variety;Unclear group purpose","No","","1","No",""
"2024/10/30 2:43:49 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Customer engagement;Community building","Yes","Facebook Groups","Limited targeting options","Engagement rate","Engagement level","Engagement metrics","50000","No preference","","","","","","","","","No",""
"2024/10/30 2:44:57 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Science and Technology;Personal Finance;Career & Networking","Weekly","Learning new things;Access to exclusive content;Support or advice from the community","Irrelevant ads or spam;Poor moderation;Limited content variety;Unclear group purpose","No","ads related to group's focus and niche","5","No",""
"2024/10/30 4:03:59 PM GMT+1","Business Owner/Advertiser","","","","","","","","Customer engagement","Yes","Facebook Groups;WhatsApp Groups;Instagram communities","Poor engagement rates","Engagement rate","Engagement level","Audience Analytics","15000","Tiered packages based on reach","","","","","","","","","No",""
"2024/10/30 4:04:23 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Customer engagement","Yes","Facebook Groups;WhatsApp Groups;Instagram communities;Telegram","Poor engagement rates","Engagement rate","Engagement level","Simple management tools","4000","No preference","","","","","","","","","No",""
"2024/10/30 4:10:29 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Social and Entertainment;Fashion & Lifestyle;Career & Networking","Daily","Learning new things;Networking with others;Sharing my opinions;Access to exclusive content","Irrelevant ads or spam;Lack of engagement;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","5","No",""
"2024/10/30 4:14:08 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Education and Skills;Career & Networking;","Rarely","Access to exclusive content","Irrelevant ads or spam;Poor moderation;Unclear group purpose","Yes, if they are relevant","Image ads","3","Idk",""
"2024/10/30 4:19:47 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Health and Fitness;Science and Technology;Fashion & Lifestyle;Career & Networking","Daily","Learning new things;Networking with others","Poor moderation;Lack of engagement","No","ads related to group's focus and niche","2","No",""
"2024/10/30 4:43:37 PM GMT+1","Business Owner/Advertiser","","","","","","","","Lead generation","Yes","Facebook Groups;WhatsApp Groups","Limited support or resources","Engagement rate","Engagement level","Engagement metrics","5000","Pay-per-click (PPC)","","","","","","","","","No",""
"2024/10/30 4:45:30 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","55 and above","Family and friends","Daily","Networking with others;Sharing my opinions","Irrelevant ads or spam;Unclear group purpose","No","ads related to group's focus and niche","1","Nothing particu;ar",""
"2024/10/30 4:49:32 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Fashion & Lifestyle","Weekly","Learning new things","Irrelevant ads or spam","Yes, if they are relevant","Text only ads","2","No",""
"2024/10/30 6:34:50 PM GMT+1","Group Owner/Admin","Business and Enterprenuership;Education and Skills;Health and Fitness","Providing exclusive content or support","Yes","Privacy of group members;Difficulty finding Sponsors or Advertisers;Managing ads and transactions;Insecure and unreliable payment system","Relevant products/services","Out of Pocket","Member analytics and insights;Moderation tools (e.g., banning, approving posts)","","","","","","","","","","","","","","","","","","Not ",""
"2024/10/30 6:50:53 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Business and Enterprenuership;Fashion & Lifestyle;Food and Healthy eating","Weekly","Learning new things;Networking with others;Sharing my opinions;Support or advice from the community","Irrelevant ads or spam;Lack of engagement;Limited content variety;Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","3","No",""
"2024/10/30 6:58:33 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Sales conversion;Customer engagement","Yes","WhatsApp Groups;Instagram communities","Limited targeting options;Poor engagement rates","Engagement rate","Engagement level","Audience Analytics","20000","Flat fee","","","","","","","","","No",""
"2024/10/30 7:21:14 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Sales conversion","Yes","Facebook Groups;WhatsApp Groups;Telegram","High costs;Poor engagement rates","Conversion rate","Engagement level","Engagement metrics;Simple management tools","0.00","Flat fee","","","","","","","","","Nill",""
"2024/10/30 7:25:11 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Education and Skills;Personal Finance;Fashion & Lifestyle;Career & Networking;Food and Healthy eating","Weekly","Learning new things;Networking with others","Irrelevant ads or spam;Poor moderation;Unclear group purpose","No","ads related to group's focus and niche","3","No",""
"2024/10/30 7:38:01 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Personal Finance;Career & Networking","Daily","Learning new things;Networking with others;Access to exclusive content","Lack of engagement;Unclear group purpose","Yes, if they are relevant","Text only ads","3","No",""
"2024/10/30 8:07:41 PM GMT+1","Group Owner/Admin","Business and Enterprenuership","Increasing engagement and interactions;Monetizing group activities","Yes","Difficulty finding Sponsors or Advertisers","Affiliate marketing","Out of Pocket","Secure and seamless paymemt system","","","","","","","","","","","","","","","","","","No",""
"2024/10/30 8:58:17 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Fashion & Lifestyle","Monthly","Sharing my opinions","Irrelevant ads or spam","No","Image ads","1","It all good ",""
"2024/10/30 9:32:42 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Business and Enterprenuership;Health and Fitness;Science and Technology;Personal Finance;Fashion & Lifestyle;Food and Healthy eating","Daily","Work","Unclear group purpose;Too many messages ","Yes, if they are relevant","ads related to group's focus and niche","2","Nil",""
"2024/10/30 11:35:26 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Sales conversion;Customer engagement","Yes","Facebook Groups;Instagram communities","Limited targeting options;Poor engagement rates","Conversion rate","Engagement level","Secure and seamless payment system;Engagement metrics;Group Search and Filter -  Find groups based on categories (e.g., lifestyle, business), location, and size.","40000","Pay-per-click (PPC)","","","","","","","","","No",""
"2024/10/30 11:40:39 PM GMT+1","Business Owner/Advertiser","","","","","","","","Brand awareness;Customer engagement","Yes","Facebook Groups;WhatsApp Groups;Instagram communities","Limited targeting options;Poor engagement rates;Limited support or resources","Engagement rate","Specific Niche /topic","Audience Analytics;Engagement metrics;Group Search and Filter -  Find groups based on categories (e.g., lifestyle, business), location, and size.;Publicly displayed group ratings and reviews","5000","Tiered packages based on reach","","","","","","","","","Been able to reach our niche and engagement rate improved",""
"2024/10/31 6:59:13 AM GMT+1","Group Owner/Admin","Business and Enterprenuership;Social and Entertainment;Health and Fitness;Fashion & Lifestyle","Growing membership;Increasing engagement and interactions;Providing exclusive content or support","Yes","Low engagement from members;Potential disruption of group activities","Relevant products/services","Members contributions","Secure and seamless paymemt system","","","","","","","","","","","","","","","","","","No",""
"2024/10/31 7:47:47 AM GMT+1","Business Owner/Advertiser","","","","","","","","Sales conversion;Customer engagement","Yes","WhatsApp Groups;Instagram communities","High costs;Poor engagement rates;Difficulty measuring ROI","Engagement rate","Engagement level","Secure and seamless payment system;Audience Analytics;Engagement metrics;Ad Scheduling and Control","65000","Pay-per-impression (CPM)","","","","","","","","","No",""
"2024/10/31 7:49:51 AM GMT+1","Group Owner/Admin","Social and Entertainment;Fashion & Lifestyle;Career & Networking","Growing membership;Building brand authority;Providing exclusive content or support","Yes","Privacy of group members;Low engagement from members;Potential disruption of group activities;Difficulty finding Sponsors or Advertisers","Relevant products/services","Out of Pocket","Group statistics and demographics Insights;Member analytics and insights;Engagement metrics","","","","","","","","","","","","","","","","","","No",""
"2024/10/31 7:52:37 AM GMT+1","Business Owner/Advertiser","","","","","","","","Sales conversion","Yes","Facebook Groups;Instagram communities","High costs","Conversion rate","Group size","Audience Analytics;Engagement metrics;Group Search and Filter -  Find groups based on categories (e.g., lifestyle, business), location, and size.;Publicly displayed group ratings and reviews","30000","Flat fee","","","","","","","","","Null",""
"2024/10/31 11:26:14 AM GMT+1","Group Member","","","","","","","","","","","","","","","","","18 - 24","Social and Entertainment","Rarely","Learning new things","Unclear group purpose","Yes, if they are relevant","ads related to group's focus and niche","5","Yes",""
"2024/10/31 12:43:23 PM GMT+1","Group Member","","","","","","","","","","","","","","","","","25 - 34","Education and Skills;Social and Entertainment;Science and Technology;Career & Networking","Daily","Learning new things;Networking with others;Support or advice from the community","Irrelevant ads or spam;Poor moderation","Yes, if they are relevant","ads related to group's focus and niche","4","None yet",""
